epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
50,1986.6,0.78951,1.96498,1.18836,1.03935,0,0.59941,0.48162,0.46072,0.26997,0.58685,0.46972,0.45202,0.15706,1.32571,5.62064,3.05488,1.75245,0,0.0006766,0.0006766,0.0006766
51,2026.9,0.73407,1.77429,0.98718,0.99941,0,0.59941,0.48162,0.46072,0.26997,0.58685,0.46972,0.45202,0.15706,1.32571,5.62064,3.05488,1.75245,0,0.00067,0.00067,0.00067
52,2062.7,0.73375,1.83805,1.02942,0.99376,0,0.59941,0.48162,0.46072,0.26997,0.58685,0.46972,0.45202,0.15706,1.32571,5.62064,3.05488,1.75245,0,0.0006634,0.0006634,0.0006634
53,2098.51,0.75066,1.8236,1.07008,1.01395,0,0.59941,0.48162,0.46072,0.26997,0.58685,0.46972,0.45202,0.15706,1.32571,5.62064,3.05488,1.75245,0,0.0006568,0.0006568,0.0006568
54,2136.82,0.74102,1.82431,1.02646,1.02953,0,0.60251,0.358,0.33433,0.21545,0.5715,0.38657,0.29539,0.09474,1.39348,6.06963,3.07902,1.66106,0,0.0006502,0.0006502,0.0006502
55,2168.37,0.77533,1.86206,1.09241,0.959,0,0.60251,0.358,0.33433,0.21545,0.5715,0.38657,0.29539,0.09474,1.39348,6.06963,3.07902,1.66106,0,0.0006436,0.0006436,0.0006436
56,2205.7,0.69117,1.75265,0.96431,0.9928,0,0.60251,0.358,0.33433,0.21545,0.5715,0.38657,0.29539,0.09474,1.39348,6.06963,3.07902,1.66106,0,0.000637,0.000637,0.000637
57,2241.04,0.70313,1.73181,1.00055,0.99011,0,0.60251,0.358,0.33433,0.21545,0.5715,0.38657,0.29539,0.09474,1.39348,6.06963,3.07902,1.66106,0,0.0006304,0.0006304,0.0006304
58,2276.42,0.6867,1.57874,0.91914,0.96151,0,0.64375,0.31076,0.33049,0.2246,0.62477,0.34524,0.30284,0.10884,1.33166,5.20679,3.0594,1.57372,0,0.0006238,0.0006238,0.0006238
59,2311.67,0.68507,1.60748,0.92446,0.95881,0,0.64375,0.31076,0.33049,0.2246,0.62477,0.34524,0.30284,0.10884,1.33166,5.20679,3.0594,1.57372,0,0.0006172,0.0006172,0.0006172
